DATE,region_code,total_consum(Wh),max_tem,min_tem,wind_speed,morning_tem,noon_tem,evening_tem,total_precip,humidity,visibility,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,heat_index,DEWPOINT_MAX_C,wind_tem,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,snow,UV_INDEX,SUNHOUR,night_tem
2023-01-16,24,30832052892.0,7.0,3.8333333333333335,28.833333333333332,4.666666666666667,5.333333333333333,5.5,3.8166666666666664,91.5,9.041666666666666,1004.6666666666666,81.66666666666667,7.0,3.1666666666666665,-0.6666666666666666,298.0,357.5,294.0,0.0,2.1666666666666665,3.65,5.166666666666667
2023-01-17,24,32637717310.0,4.666666666666667,0.0,23.0,2.5,3.5,2.3333333333333335,0.7999999999999999,92.33333333333333,9.104166666666666,996.6666666666666,65.85416666666667,4.666666666666667,2.3333333333333335,-2.0,300.0,245.0,156.5,0.39999999999999997,1.1666666666666667,5.733333333333333,3.0
2023-01-18,24,34864200411.0,3.5,-0.8333333333333334,14.0,-0.3333333333333333,2.0,2.0,0.6166666666666667,87.33333333333333,9.291666666666666,1005.8333333333334,43.333333333333336,3.5,0.16666666666666666,-4.666666666666667,154.0,222.5,149.5,0.5333333333333333,2.0,6.616666666666667,-0.5
2023-01-19,24,36220623648.0,4.833333333333333,-1.1666666666666667,11.0,-1.0,3.1666666666666665,1.8333333333333333,0.31666666666666665,93.83333333333333,8.6875,1015.3333333333334,49.979166666666664,4.833333333333333,0.6666666666666666,-4.5,168.5,159.5,189.5,0.08333333333333333,1.8333333333333333,5.15,-0.6666666666666666
2023-01-20,24,36513370480.0,4.833333333333333,-1.3333333333333333,9.5,-1.3333333333333333,3.5,1.1666666666666667,0.0,87.16666666666667,10.0,1026.8333333333333,26.791666666666668,4.833333333333333,0.0,-4.833333333333333,116.0,114.0,116.0,0.0,2.0,8.7,-1.3333333333333333
2023-01-21,24,37704752495.0,4.666666666666667,-1.0,17.5,-0.3333333333333333,3.3333333333333335,2.6666666666666665,0.06666666666666667,92.33333333333333,9.4375,1031.8333333333333,56.8125,4.666666666666667,1.1666666666666667,-3.8333333333333335,123.0,121.0,123.5,0.03333333333333333,1.3333333333333333,4.283333333333333,-0.3333333333333333
2023-01-22,24,40082063503.0,4.833333333333333,-2.5,20.166666666666668,-2.5,3.0,1.8333333333333333,0.0,93.0,9.666666666666666,1032.6666666666667,33.125,4.833333333333333,0.0,-7.0,119.5,113.5,115.5,0.0,2.0,8.116666666666665,-2.0
2023-01-23,24,39361844945.0,3.3333333333333335,-0.3333333333333333,21.666666666666668,0.16666666666666666,2.5,2.5,0.0,90.66666666666667,10.0,1032.6666666666667,96.14583333333333,3.3333333333333335,0.0,-4.5,121.0,122.0,122.0,0.0,1.0,3.4,0.0
2023-01-24,24,37971812739.0,4.333333333333333,-0.3333333333333333,21.666666666666668,-0.16666666666666666,3.1666666666666665,3.5,0.0,91.5,10.0,1034.6666666666667,79.375,4.333333333333333,0.3333333333333333,-5.666666666666667,118.5,120.0,120.5,0.0,1.1666666666666667,3.983333333333333,0.3333333333333333
2023-01-25,24,38085002407.0,6.333333333333333,-0.8333333333333334,14.5,0.16666666666666666,4.5,3.0,0.0,95.83333333333333,8.166666666666666,1033.8333333333333,44.166666666666664,6.333333333333333,1.5,-4.833333333333333,134.5,114.5,114.5,0.0,1.1666666666666667,7.833333333333333,0.8333333333333334
2023-01-26,24,37579682618.0,4.333333333333333,-0.8333333333333334,15.833333333333334,0.6666666666666666,2.3333333333333335,3.6666666666666665,1.05,96.33333333333333,6.895833333333333,1025.6666666666667,76.72916666666667,4.333333333333333,3.0,-2.5,220.5,261.0,184.5,0.03333333333333333,1.8333333333333333,3.716666666666667,-0.3333333333333333
2023-01-27,24,36894868259.0,4.5,1.8333333333333333,23.5,2.5,4.0,2.8333333333333335,0.09999999999999999,91.83333333333333,9.8125,1025.5,85.54166666666667,4.5,2.0,-3.0,193.5,189.5,202.5,0.03333333333333333,1.0,4.633333333333334,2.8333333333333335
2023-01-28,24,37479571412.0,4.5,-1.0,18.5,-0.16666666666666666,3.3333333333333335,2.8333333333333335,0.0,90.66666666666667,9.833333333333334,1030.1666666666667,68.66666666666667,4.5,0.0,-5.166666666666667,117.0,117.5,120.0,0.0,1.3333333333333333,5.816666666666666,-0.16666666666666666
2023-01-29,24,37396379249.0,6.5,-1.3333333333333333,8.333333333333334,-1.3333333333333333,4.333333333333333,3.5,0.0,90.16666666666667,9.666666666666666,1031.0,28.291666666666668,6.5,1.0,-4.5,118.0,116.5,115.5,0.0,2.0,6.666666666666667,-1.3333333333333333
2023-01-30,24,35715469302.0,7.5,0.8333333333333334,18.333333333333332,2.1666666666666665,5.166666666666667,5.5,0.03333333333333333,95.66666666666667,9.666666666666666,1031.3333333333333,67.5625,7.5,5.333333333333333,-1.6666666666666667,120.0,121.0,123.5,0.0,2.3333333333333335,4.366666666666666,1.5
